Temperature,WindSpeed,Humidity,Rain,solar,sunTime,Cloud,so2,ozone,no2,PM2.5,PM10
3.1,3.6,96.0,1.8,0.0,0.0,8.181862336451202,0.002,0.029,0.01,7.0,10.0
2.8,0.7,97.0,1.7922980935498842,0.0,0.0,6.10382066967078,0.002,0.028999999999999998,0.011000000000000001,4.0,9.0
2.6,3.2,95.0,1.7787441789649958,0.0,0.0,8.050074734580576,0.003,0.027000000000000003,0.013000000000000001,15.813530348548438,1.0
2.0,1.9,97.0,1.7593382562453352,0.0,0.0,7.700739868290083,0.002,0.025,0.011000000000000001,17.699579063556982,1.0
2.2,2.1,97.0,1.7340803253909018,0.0,0.0,7.804446168489445,0.002,0.027999999999999997,0.009000000000000001,18.325597460617196,1.0
4.1,4.4,97.0,1.702970386401696,0.0,0.0,8.217095941495195,0.002,0.027999999999999997,0.008,14.947043054754728,2.0
3.5,7.9,93.0,1.6660084392777177,0.0,0.0,8.349986769378624,0.002,0.031,0.008,19.288664943768698,11.0
2.2,6.4,86.0,1.6231944840189667,0.0,0.0,8.10839321780027,0.002,0.02,0.013999999999999999,22.0,26.0
1.0,7.7,82.0,1.574528520625443,0.05,0.0,7.7228921879308725,0.003,0.02,0.013999999999999999,78.0,87.0
0.3,8.9,71.0,1.520010549097147,0.69,0.8,6.640984322772588,0.002,0.03,0.011000000000000001,39.0,51.0
0.6,7.9,63.0,1.4596405694340784,1.43,1.0,3.484123330014516,0.004,0.033,0.011000000000000001,43.0,62.0
0.5,9.1,58.0,1.3934185816362372,2.11,1.0,3.0945578625683607,0.004,0.035,0.01,46.0,78.0
0.7,6.7,60.0,1.3213445857036235,2.57,1.0,3.267040226899383,0.004,0.036000000000000004,0.01,37.0,59.0
1.5,6.5,60.0,1.243418581636237,2.58,1.0,3.345125624775887,0.004,0.036000000000000004,0.009000000000000001,34.0,50.0
0.1,5.1,56.0,1.1596405694340786,2.08,1.0,3.293042279436832,0.004,0.037000000000000005,0.009000000000000001,36.0,50.0
0.4,5.0,56.0,1.070010549097147,2.22,1.0,3.323981402757813,0.003,0.037000000000000005,0.011000000000000001,31.0,49.0
0.3,6.0,56.0,0.974528520625443,1.91,1.0,3.386068362857173,0.003,0.037000000000000005,0.011000000000000001,33.0,40.0
-0.5,4.6,59.0,0.8731944840189666,1.07,1.0,2.769906204908258,0.003,0.038,0.011000000000000001,27.0,40.0
-1.3,5.4,62.0,0.7660084392777174,0.38,0.6,6.041253353156305,0.003,0.037000000000000005,0.011000000000000001,31.0,40.0
-1.7,4.4,63.0,0.652970386401696,0.02,0.0,7.131644152338428,0.003,0.037000000000000005,0.013000000000000001,29.0,40.0
-1.8,4.3,63.0,0.5340803253909019,0.0,0.0,7.286687874636796,0.003,0.035,0.013999999999999999,34.0,41.0
-1.8,4.7,61.0,0.40933825624533515,0.0,0.0,6.652758986049559,0.003,0.033,0.013999999999999999,28.0,49.0
-1.9,3.3,60.0,0.27874417896499604,0.0,0.0,6.287610981286989,0.003,0.036000000000000004,0.011000000000000001,34.0,40.0
-2.3,3.7,55.0,0.14229809354988454,0.0,0.0,5.259961819432865,0.003,0.037000000000000005,0.008,28.0,40.0
-2.7,3.7,56.0,0.0,0.0,0.0,5.333534802737103,0.003,0.037000000000000005,0.006999999999999999,27.0,39.0
-2.8,3.8,53.0,0.0,0.0,0.0,5.138725994674413,0.003,0.035,0.006999999999999999,26.0,30.0
-3.2,2.5,52.0,0.0,0.0,0.0,4.02403444011367,0.003,0.034,0.006999999999999999,22.0,30.0
-3.5,2.6,50.0,0.0,0.0,0.0,3.4828848690735703,0.003,0.035,0.006,17.0,31.0
-4.2,1.4,55.0,0.0,0.0,0.0,4.372590833391074,0.003,0.034,0.005,18.0,41.0
