Temperature,WindSpeed,Humidity,Rain,solar,sunTime,Cloud,so2,ozone,no2,PM2.5,PM10
3.1,3.6,96.0,1.8,0.0,0.0,8.34304761904762,0.002,0.029,0.01,7.0,10.0
2.8,0.7,97.0,1.725,0.0,0.0,6.927154761904763,0.002,0.028999999999999998,0.011000000000000001,4.0,9.0
2.6,3.2,95.0,1.6500000000000001,0.0,0.0,8.204809523809523,0.003,0.027000000000000003,0.013000000000000001,15.81144664889027,1.0
2.0,1.9,97.0,1.5750000000000002,0.0,0.0,7.0809523809523816,0.002,0.025,0.011000000000000001,17.69418476340968,1.0
2.2,2.1,97.0,1.5,0.0,0.0,7.394023809523811,0.002,0.027999999999999997,0.009000000000000001,17.857981663744713,1.0
4.1,4.4,97.0,1.425,0.0,0.0,7.9076666666666675,0.002,0.027999999999999997,0.008,14.942839321676068,2.0
3.5,7.9,93.0,1.35,0.0,0.0,7.195476190476189,0.002,0.031,0.008,19.28711521280352,11.0
2.2,6.4,86.0,1.275,0.0,0.0,7.015261904761904,0.002,0.02,0.013999999999999999,22.0,26.0
1.0,7.7,82.0,1.2000000000000002,0.05,0.0,7.216797619047619,0.003,0.02,0.013999999999999999,78.0,87.0
0.3,8.9,71.0,1.125,0.69,0.8,7.516,0.002,0.03,0.011000000000000001,39.0,51.0
0.6,7.9,63.0,1.05,1.43,1.0,4.483761904761906,0.004,0.033,0.011000000000000001,43.0,62.0
0.5,9.1,58.0,0.9750000000000001,2.11,1.0,3.983619047619049,0.004,0.035,0.01,46.0,78.0
0.7,6.7,60.0,0.9000000000000001,2.57,1.0,4.001047619047619,0.004,0.036000000000000004,0.01,37.0,59.0
1.5,6.5,60.0,0.8250000000000001,2.58,1.0,3.866944444444445,0.004,0.036000000000000004,0.009000000000000001,34.0,50.0
0.1,5.1,56.0,0.75,2.08,1.0,3.897738095238097,0.004,0.037000000000000005,0.009000000000000001,36.0,50.0
0.4,5.0,56.0,0.675,2.22,1.0,2.983015873015873,0.003,0.037000000000000005,0.011000000000000001,31.0,49.0
0.3,6.0,56.0,0.6000000000000001,1.91,1.0,3.7327301587301593,0.003,0.037000000000000005,0.011000000000000001,33.0,40.0
-0.5,4.6,59.0,0.5250000000000001,1.07,1.0,2.840940476190476,0.003,0.038,0.011000000000000001,27.0,40.0
-1.3,5.4,62.0,0.4500000000000002,0.38,0.6,6.999595238095237,0.003,0.037000000000000005,0.011000000000000001,31.0,40.0
-1.7,4.4,63.0,0.375,0.02,0.0,7.164309523809524,0.003,0.037000000000000005,0.013000000000000001,29.0,40.0
-1.8,4.3,63.0,0.30000000000000004,0.0,0.0,7.3301904761904755,0.003,0.035,0.013999999999999999,34.0,41.0
-1.8,4.7,61.0,0.2250000000000001,0.0,0.0,6.866373015873015,0.003,0.033,0.013999999999999999,28.0,49.0
-1.9,3.3,60.0,0.15000000000000013,0.0,0.0,6.41540476190476,0.003,0.036000000000000004,0.011000000000000001,34.0,40.0
-2.3,3.7,55.0,0.07500000000000018,0.0,0.0,4.7025,0.003,0.037000000000000005,0.008,28.0,40.0
-2.7,3.7,56.0,0.0,0.0,0.0,5.126738095238093,0.003,0.037000000000000005,0.006999999999999999,27.0,39.0
-2.8,3.8,53.0,0.0,0.0,0.0,5.1161666666666665,0.003,0.035,0.006999999999999999,26.0,30.0
-3.2,2.5,52.0,0.0,0.0,0.0,4.051857142857144,0.003,0.034,0.006999999999999999,22.0,30.0
-3.5,2.6,50.0,0.0,0.0,0.0,3.3597225274725275,0.003,0.035,0.006,17.0,31.0
-4.2,1.4,55.0,0.0,0.0,0.0,4.533238095238094,0.003,0.034,0.005,18.0,41.0
-5.1,0.8,59.0,0.0,0.0,0.0,3.002261904761905,0.002,0.031,0.006999999999999999,21.0,50.0
-6.3,0.6,75.0,0.0,0.0,0.0,1.9956666666666667,0.002,0.021,0.013000000000000001,16.0,50.0
-7.1,0.3,83.0,0.0,0.0,0.0,1.7672647058823523,0.002,0.011000000000000001,0.022000000000000002,20.0,49.0
-5.7,0.8,76.0,0.0,0.2,0.5,2.7829285714285716,0.002,0.004,0.036000000000000004,20.0,41.0
-3.2,1.0,53.0,0.0,0.92,1.0,2.13004674796748,0.002,0.011000000000000001,0.033,19.0,52.0
-1.5,1.9,47.0,0.0,1.63,1.0,1.6152777777777783,0.005,0.027000000000000003,0.013000000000000001,18.0,79.0
-0.7,1.4,29.0,0.0,2.26,1.0,1.6549999999999998,0.009000000000000001,0.026000000000000002,0.016,17.0,69.0
1.3,2.2,38.0,0.0,2.69,1.0,1.5647142857142855,0.005,0.028999999999999998,0.013000000000000001,22.0,58.0
2.7,1.5,22.0,0.0,2.89,1.0,1.994,0.005,0.031,0.011000000000000001,12.0,40.0
4.3,1.6,23.0,0.0,2.85,1.0,1.9044999999999999,0.006,0.03,0.013999999999999999,12.0,42.0
5.4,1.8,25.0,0.0,2.55,1.0,1.4860000000000002,0.008,0.03,0.017,17.0,61.0
5.9,2.0,26.0,0.0,2.0,1.0,2.087166666666667,0.013000000000000001,0.023,0.025,18.0,71.0
3.1,3.6,50.0,0.0,1.26,1.0,2.3219523809523817,0.009000000000000001,0.027000000000000003,0.024,32.0,78.0
1.6,1.4,53.0,0.0,0.48,1.0,2.6712619047619044,0.01,0.028999999999999998,0.026000000000000002,28.0,60.0
-0.1,1.2,61.0,0.0,0.02,0.0,3.9416666666666673,0.008,0.024,0.034,28.0,60.0
-0.9,1.2,64.0,0.0,0.0,0.0,3.9365476190476185,0.008,0.02,0.033,30.0,59.0
-1.3,1.1,66.0,0.0,0.0,0.0,4.28097619047619,0.006999999999999999,0.016,0.033,28.0,50.0
-0.7,0.2,68.0,0.0,0.0,0.0,4.014166666666667,0.004,0.006,0.040999999999999995,29.0,51.0
-0.3,0.3,65.0,0.0,0.0,0.0,4.903678571428572,0.004,0.009000000000000001,0.035,33.0,59.0
-0.2,0.0,67.0,0.0,0.0,0.0,4.639690476190477,0.005,0.015,0.025,29.0,50.0
0.1,0.0,68.0,0.8916666666666666,0.0,0.0,5.192690476190478,0.005,0.009000000000000001,0.031,27.0,51.0
0.1,1.2,65.0,1.7833333333333332,0.0,0.0,7.759071428571425,0.004,0.006,0.032,40.0,60.0
0.4,0.4,68.0,2.675,0.0,0.0,6.393714285714285,0.004,0.006,0.03,34.0,60.0
0.1,0.1,72.0,3.5666666666666664,0.0,0.0,6.14835714285714,0.004,0.004,0.033,42.0,61.0
-0.5,0.1,77.0,4.458333333333333,0.0,0.0,4.138857142857143,0.006,0.006,0.032,43.0,71.0
-1.4,0.3,77.0,5.35,0.0,0.0,4.3335,0.006,0.008,0.03,51.0,80.0
-2.1,1.1,83.0,6.241666666666666,0.0,0.0,5.130666666666667,0.004,0.003,0.035,51.0,80.0
-0.6,0.5,70.0,7.133333333333333,0.16,0.4,5.220607142857142,0.004,0.005,0.032,54.0,79.0
2.9,0.4,48.0,8.024999999999999,0.81,1.0,2.6459047619047618,0.004,0.011000000000000001,0.027000000000000003,53.0,69.0
6.1,1.0,27.0,8.916666666666666,1.52,1.0,2.407166666666666,0.004,0.016,0.025,48.0,59.0
9.1,0.7,23.0,9.808333333333334,2.12,1.0,1.8233333333333335,0.004,0.021,0.024,36.0,49.0
11.6,2.7,25.0,10.7,2.55,1.0,1.960928571428571,0.004,0.024,0.022000000000000002,35.0,41.0
12.8,3.9,12.0,11.591666666666665,2.75,1.0,2.6604285714285707,0.003,0.028999999999999998,0.016,30.0,49.0
13.6,3.8,11.0,12.483333333333333,1.88,0.8,7.922460317460318,0.003,0.033,0.013999999999999999,23.0,40.0
13.8,4.0,19.0,13.375,2.4,1.0,2.7270714285714286,0.004,0.035,0.013000000000000001,16.0,40.0
14.6,2.7,31.0,14.266666666666666,1.9,1.0,1.867436507936508,0.003,0.042,0.009000000000000001,11.0,38.0
13.3,3.5,53.0,15.158333333333331,1.14,1.0,3.5831785714285704,0.003,0.042,0.009000000000000001,7.0,9.0
11.7,2.5,62.0,16.049999999999997,0.47,1.0,2.706488095238095,0.003,0.04,0.01,14.99754431581383,2.0
9.6,2.3,67.0,16.941666666666666,0.01,0.1,8.545333333333332,0.003,0.038,0.012,10.0,11.0
8.9,1.7,68.0,17.833333333333332,0.0,0.0,9.101833333333333,0.003,0.036000000000000004,0.015,10.0,20.0
8.3,0.7,74.0,18.724999999999998,0.0,0.0,7.815261904761906,0.003,0.031,0.019,17.0,20.0
8.4,0.5,74.0,19.616666666666667,0.0,0.0,7.75247619047619,0.003,0.032,0.017,16.0,21.0
8.9,0.7,70.0,20.508333333333333,0.0,0.0,7.748404761904765,0.003,0.031,0.017,22.0,29.0
8.6,0.9,72.0,21.4,0.0,0.0,7.875420634920635,0.003,0.027999999999999997,0.018000000000000002,17.72436807930375,20.0
8.4,0.3,75.0,20.879166666666666,0.0,0.0,6.913476190476191,0.003,0.01,0.034,20.258403034939732,22.0
8.2,0.2,77.0,20.35833333333333,0.0,0.0,8.185845238095236,0.004,0.013999999999999999,0.027000000000000003,32.0,40.0
8.9,1.6,77.0,19.8375,0.0,0.0,8.720666666666666,0.003,0.015,0.021,32.0,40.0
9.0,0.5,78.0,19.316666666666666,0.0,0.0,8.764738095238096,0.003,0.019,0.017,34.0,40.0
9.1,1.6,82.0,18.795833333333334,0.0,0.0,8.539952380952382,0.003,0.032,0.008,27.0,39.0
8.9,1.1,85.0,18.275,0.0,0.0,7.660722222222225,0.003,0.03,0.009000000000000001,19.0,30.0
