지점,지점명,일시,일조(hr),일사(MJ/m2)
129,서산,2018-03-01 08:00,0.0,0.05
129,서산,2018-03-01 09:00,0.8,0.69
129,서산,2018-03-01 10:00,1.0,1.43
129,서산,2018-03-01 11:00,1.0,2.11
129,서산,2018-03-01 12:00,1.0,2.57
129,서산,2018-03-01 13:00,1.0,2.58
129,서산,2018-03-01 14:00,1.0,2.08
129,서산,2018-03-01 15:00,1.0,2.22
129,서산,2018-03-01 16:00,1.0,1.91
129,서산,2018-03-01 17:00,1.0,1.07
129,서산,2018-03-01 18:00,0.6,0.38
129,서산,2018-03-01 19:00,0.0,0.02
129,서산,2018-03-02 08:00,0.5,0.2
129,서산,2018-03-02 09:00,1.0,0.92
129,서산,2018-03-02 10:00,1.0,1.63
129,서산,2018-03-02 11:00,1.0,2.26
129,서산,2018-03-02 12:00,1.0,2.69
129,서산,2018-03-02 13:00,1.0,2.89
129,서산,2018-03-02 14:00,1.0,2.85
129,서산,2018-03-02 15:00,1.0,2.55
129,서산,2018-03-02 16:00,1.0,2.0
129,서산,2018-03-02 17:00,1.0,1.26
129,서산,2018-03-02 18:00,1.0,0.48
129,서산,2018-03-02 19:00,0.0,0.02
129,서산,2018-03-03 08:00,0.4,0.16
129,서산,2018-03-03 09:00,1.0,0.81
129,서산,2018-03-03 10:00,1.0,1.52
129,서산,2018-03-03 11:00,1.0,2.12
129,서산,2018-03-03 12:00,1.0,2.55
129,서산,2018-03-03 13:00,1.0,2.75
129,서산,2018-03-03 14:00,0.8,1.88
129,서산,2018-03-03 15:00,1.0,2.4
129,서산,2018-03-03 16:00,1.0,1.9
129,서산,2018-03-03 17:00,1.0,1.14
129,서산,2018-03-03 18:00,1.0,0.47
129,서산,2018-03-03 19:00,0.1,0.01
129,서산,2018-03-04 08:00,0.0,0.02
129,서산,2018-03-04 09:00,0.0,0.09
129,서산,2018-03-04 10:00,0.0,0.31
129,서산,2018-03-04 11:00,0.3,1.29
129,서산,2018-03-04 12:00,0.3,1.32
129,서산,2018-03-04 13:00,0.0,0.94
129,서산,2018-03-04 14:00,0.0,1.14
