날짜,지점,강수량(mm)
2018-03-01,129,1.8
2018-03-02,129,
2018-03-03,129,
2018-03-04,129,21.4
2018-03-05,129,8.9
2018-03-06,129,
2018-03-07,129,3.7
2018-03-08,129,7.2
2018-03-09,129,
2018-03-10,129,
2018-03-11,129,
2018-03-12,129,
2018-03-13,129,
2018-03-14,129,0.6
2018-03-15,129,15.2
2018-03-16,129,
2018-03-17,129,
2018-03-18,129,4.1
2018-03-19,129,7.1
2018-03-20,129,
2018-03-21,129,6.5
2018-03-22,129,0.1
2018-03-23,129,
2018-03-24,129,
2018-03-25,129,
2018-03-26,129,
2018-03-27,129,
2018-03-28,129,
2018-03-29,129,
2018-03-30,129,
2018-03-31,129,
2018-04-01,129,
2018-04-02,129,
2018-04-03,129,0.0
2018-04-04,129,7.9
2018-04-05,129,23.3
2018-04-06,129,9.7
2018-04-07,129,
2018-04-08,129,
2018-04-09,129,
2018-04-10,129,2.4
2018-04-11,129,
2018-04-12,129,
2018-04-13,129,0.1
2018-04-14,129,17.8
2018-04-15,129,
2018-04-16,129,
2018-04-17,129,
2018-04-18,129,
2018-04-19,129,
2018-04-20,129,
2018-04-21,129,
2018-04-22,129,2.7
2018-04-23,129,67.7
2018-04-24,129,1.2
2018-04-25,129,
2018-04-26,129,
2018-04-27,129,
2018-04-28,129,
2018-04-29,129,
2018-04-30,129,
2018-05-01,129,0.1
2018-05-02,129,4.9
2018-05-03,129,
2018-05-04,129,
2018-05-05,129,0.0
2018-05-06,129,34.6
2018-05-07,129,
2018-05-08,129,
2018-05-09,129,
2018-05-10,129,
2018-05-11,129,
2018-05-12,129,54.1
2018-05-13,129,
2018-05-14,129,
2018-05-15,129,0.0
2018-05-16,129,4.1
2018-05-17,129,27.3
2018-05-18,129,2.0
2018-05-19,129,
2018-05-20,129,
2018-05-21,129,
2018-05-22,129,13.1
2018-05-23,129,6.6
2018-05-24,129,
2018-05-25,129,
2018-05-26,129,
2018-05-27,129,
2018-05-28,129,
2018-05-29,129,0.9
2018-05-30,129,0.0
2018-05-31,129,
2018-06-01,129,
2018-06-02,129,
2018-06-03,129,
2018-06-04,129,
2018-06-05,129,0.0
2018-06-06,129,
2018-06-07,129,
2018-06-08,129,
2018-06-09,129,12.2
2018-06-10,129,2.8
2018-06-11,129,0.0
2018-06-12,129,
