,Time,so2,co,ozone,no2,pm10,pm25
0,2018-03-01 00:00:00,0.003,1.0,0.055999999999999994,0.01,17.0,17.0
1,2018-03-01 01:00:00,0.003,0.8,0.057,0.009000000000000001,36.3543875952495,8.0
2,2018-03-01 02:00:00,0.003,0.3,0.061,0.006,36.04403004934412,7.0
3,2018-03-01 03:00:00,0.003,1.7,0.055999999999999994,0.006,37.613820268424085,8.0
4,2018-03-01 04:00:00,0.006999999999999999,0.4,0.055999999999999994,0.006,37.44747177970384,7.0
5,2018-03-01 05:00:00,0.003,0.3,0.055999999999999994,0.008,38.21113770257883,10.0
6,2018-03-01 06:00:00,0.003,0.3,0.055,0.013000000000000001,38.201363406173336,12.0
7,2018-03-01 07:00:00,0.003,0.4,0.042,0.026000000000000002,16.0,13.0
8,2018-03-01 08:00:00,0.011000000000000001,0.4,0.038,0.027999999999999997,27.0,23.0
9,2018-03-01 09:00:00,0.006,0.4,0.052000000000000005,0.013999999999999999,28.0,25.0
10,2018-03-01 10:00:00,0.003,0.5,0.055999999999999994,0.008,34.0,29.0
11,2018-03-01 11:00:00,0.003,0.5,0.06,0.009000000000000001,24.0,17.0
12,2018-03-01 12:00:00,0.003,0.4,0.065,0.009000000000000001,61.0,20.0
13,2018-03-01 13:00:00,0.002,0.4,0.067,0.01,50.0,17.0
14,2018-03-01 14:00:00,0.002,0.4,0.066,0.011000000000000001,34.0,17.0
15,2018-03-01 15:00:00,0.002,0.4,0.065,0.01,29.0,17.0
16,2018-03-01 16:00:00,0.002,0.5,0.068,0.008,27.0,14.0
17,2018-03-01 17:00:00,0.002,1.4,0.065,0.009000000000000001,22.0,13.0
18,2018-03-01 18:00:00,0.003,1.5,0.059000000000000004,0.012,23.0,17.0
19,2018-03-01 19:00:00,0.002,0.9,0.059000000000000004,0.012,24.0,20.0
20,2018-03-01 20:00:00,0.002,0.4,0.06,0.012,28.0,17.0
21,2018-03-01 21:00:00,0.003,0.5,0.057,0.01,19.0,16.0
22,2018-03-01 22:00:00,0.002,0.3,0.057,0.008,21.0,19.0
23,2018-03-01 23:00:00,0.003,2.3,0.054000000000000006,0.008,24.0,17.0
24,2018-03-02 00:00:00,0.003,1.1,0.05,0.011000000000000001,32.0,24.0
25,2018-03-02 01:00:00,0.002,0.3,0.051,0.011000000000000001,32.0,25.0
26,2018-03-02 02:00:00,0.002,0.3,0.049,0.011000000000000001,25.0,23.0
27,2018-03-02 03:00:00,0.003,1.0,0.05,0.01,31.0,24.0
28,2018-03-02 04:00:00,0.003,0.6,0.048,0.008,35.0,27.0
29,2018-03-02 05:00:00,0.003,1.3,0.046,0.012,35.0,25.0
30,2018-03-02 06:00:00,0.003,0.8,0.040999999999999995,0.019,39.30509433875203,31.0
31,2018-03-02 07:00:00,0.003,0.6,0.036000000000000004,0.026000000000000002,37.0,29.0
32,2018-03-02 08:00:00,0.003,0.5,0.038,0.026000000000000002,40.0,31.0
33,2018-03-02 09:00:00,0.003,0.5,0.040999999999999995,0.025,47.0,33.0
34,2018-03-02 10:00:00,0.003,0.5,0.043,0.023,51.0,32.0
35,2018-03-02 11:00:00,0.02,0.5,0.038,0.037000000000000005,50.0,32.0
36,2018-03-02 12:00:00,0.022000000000000002,0.4,0.043,0.032,73.0,50.0
37,2018-03-02 13:00:00,0.018000000000000002,0.5,0.047,0.036000000000000004,45.0,28.0
38,2018-03-02 14:00:00,0.021,0.4,0.047,0.036000000000000004,62.0,41.0
39,2018-03-02 15:00:00,0.009000000000000001,0.4,0.052000000000000005,0.021,47.0,41.0
