,time,sun_hr,solar
0,2018-03-01 00:00:00,,
1,2018-03-01 01:00:00,,
2,2018-03-01 02:00:00,,
3,2018-03-01 03:00:00,,
4,2018-03-01 04:00:00,,
5,2018-03-01 05:00:00,,
6,2018-03-01 06:00:00,,
7,2018-03-01 07:00:00,0.0,
8,2018-03-01 08:00:00,0.1,
9,2018-03-01 09:00:00,1.0,
10,2018-03-01 10:00:00,0.2,
11,2018-03-01 11:00:00,1.0,
12,2018-03-01 12:00:00,1.0,
13,2018-03-01 13:00:00,1.0,
14,2018-03-01 14:00:00,1.0,
15,2018-03-01 15:00:00,1.0,
16,2018-03-01 16:00:00,1.0,
17,2018-03-01 17:00:00,1.0,
18,2018-03-01 18:00:00,0.8,
19,2018-03-01 19:00:00,0.0,
20,2018-03-01 20:00:00,,
21,2018-03-01 21:00:00,,
22,2018-03-01 22:00:00,,
23,2018-03-01 23:00:00,,
24,2018-03-02 00:00:00,,
25,2018-03-02 01:00:00,,
26,2018-03-02 02:00:00,,
27,2018-03-02 03:00:00,,
28,2018-03-02 04:00:00,,
29,2018-03-02 05:00:00,,
30,2018-03-02 06:00:00,,
31,2018-03-02 07:00:00,0.0,
32,2018-03-02 08:00:00,0.8,
33,2018-03-02 09:00:00,1.0,
34,2018-03-02 10:00:00,1.0,
35,2018-03-02 11:00:00,1.0,
36,2018-03-02 12:00:00,1.0,
37,2018-03-02 13:00:00,1.0,
38,2018-03-02 14:00:00,1.0,
39,2018-03-02 15:00:00,1.0,
40,2018-03-02 16:00:00,1.0,
41,2018-03-02 17:00:00,1.0,
42,2018-03-02 18:00:00,0.8,
43,2018-03-02 19:00:00,0.0,
44,2018-03-02 20:00:00,,
45,2018-03-02 21:00:00,,
46,2018-03-02 22:00:00,,
47,2018-03-02 23:00:00,,
48,2018-03-03 00:00:00,,
49,2018-03-03 01:00:00,,
50,2018-03-03 02:00:00,,
51,2018-03-03 03:00:00,,
52,2018-03-03 04:00:00,,
53,2018-03-03 05:00:00,,
54,2018-03-03 06:00:00,,
55,2018-03-03 07:00:00,0.0,
56,2018-03-03 08:00:00,0.0,
57,2018-03-03 09:00:00,0.0,
58,2018-03-03 10:00:00,0.3,
59,2018-03-03 11:00:00,1.0,
60,2018-03-03 12:00:00,1.0,
61,2018-03-03 13:00:00,0.7,
62,2018-03-03 14:00:00,1.0,
63,2018-03-03 15:00:00,1.0,
64,2018-03-03 16:00:00,1.0,
65,2018-03-03 17:00:00,1.0,
66,2018-03-03 18:00:00,0.8,
67,2018-03-03 19:00:00,0.0,
68,2018-03-03 20:00:00,,
69,2018-03-03 21:00:00,,
70,2018-03-03 22:00:00,,
71,2018-03-03 23:00:00,,
72,2018-03-04 00:00:00,,
73,2018-03-04 01:00:00,,
74,2018-03-04 02:00:00,,
75,2018-03-04 03:00:00,,
76,2018-03-04 04:00:00,,
77,2018-03-04 05:00:00,,
78,2018-03-04 06:00:00,,
79,2018-03-04 07:00:00,0.0,
80,2018-03-04 08:00:00,0.8,
81,2018-03-04 09:00:00,1.0,
82,2018-03-04 10:00:00,1.0,
83,2018-03-04 11:00:00,1.0,
84,2018-03-04 12:00:00,1.0,
85,2018-03-04 13:00:00,0.3,
86,2018-03-04 14:00:00,0.0,
87,2018-03-04 15:00:00,0.0,
88,2018-03-04 16:00:00,0.0,
89,2018-03-04 17:00:00,0.0,
90,2018-03-04 18:00:00,0.0,
91,2018-03-04 19:00:00,0.0,
92,2018-03-04 20:00:00,,
93,2018-03-04 21:00:00,,
94,2018-03-04 22:00:00,,
95,2018-03-04 23:00:00,,
96,2018-03-05 00:00:00,,
97,2018-03-05 01:00:00,,
98,2018-03-05 02:00:00,,
99,2018-03-05 03:00:00,,
100,2018-03-05 04:00:00,,
101,2018-03-05 05:00:00,,
102,2018-03-05 06:00:00,,
103,2018-03-05 07:00:00,0.0,
104,2018-03-05 08:00:00,0.0,
105,2018-03-05 09:00:00,0.0,
106,2018-03-05 10:00:00,0.0,
107,2018-03-05 11:00:00,0.0,
108,2018-03-05 12:00:00,0.0,
109,2018-03-05 13:00:00,0.0,
110,2018-03-05 14:00:00,0.0,
111,2018-03-05 15:00:00,0.0,
112,2018-03-05 16:00:00,0.0,
113,2018-03-05 17:00:00,0.0,
114,2018-03-05 18:00:00,0.0,
115,2018-03-05 19:00:00,0.0,
116,2018-03-05 20:00:00,,
117,2018-03-05 21:00:00,,
118,2018-03-05 22:00:00,,
119,2018-03-05 23:00:00,,
