,날짜,아황산가스,일산화탄소,오존,이산화질소,PM2.5,시도,측정소명,측정소코드,PM10
0,2018-03-01-00:00:00,0.003,2.2,0.039,0.017,9.0,,,,
0,2018-03-01 01:00:00,0.003,1.0,0.056,0.01,17.0,울산 남구,여천동(울산),238123.0,17.0
1,2018-03-01 02:00:00,0.003,0.8,0.057,0.009000000000000001,8.0,울산 남구,여천동(울산),238123.0,
2,2018-03-01 03:00:00,0.003,0.3,0.061,0.006,7.0,울산 남구,여천동(울산),238123.0,
3,2018-03-01 04:00:00,0.003,1.7,0.056,0.006,8.0,울산 남구,여천동(울산),238123.0,
4,2018-03-01 05:00:00,0.006999999999999999,0.4,0.056,0.006,7.0,울산 남구,여천동(울산),238123.0,
5,2018-03-01 06:00:00,0.003,0.3,0.056,0.008,10.0,울산 남구,여천동(울산),238123.0,
6,2018-03-01 07:00:00,0.003,0.3,0.055,0.013,12.0,울산 남구,여천동(울산),238123.0,
7,2018-03-01 08:00:00,0.003,0.4,0.042,0.026,13.0,울산 남구,여천동(울산),238123.0,16.0
8,2018-03-01 09:00:00,0.011,0.4,0.038,0.028,23.0,울산 남구,여천동(울산),238123.0,27.0
9,2018-03-01 10:00:00,0.006,0.4,0.052000000000000005,0.014,25.0,울산 남구,여천동(울산),238123.0,28.0
10,2018-03-01 11:00:00,0.003,0.5,0.056,0.008,29.0,울산 남구,여천동(울산),238123.0,34.0
11,2018-03-01 12:00:00,0.003,0.5,0.06,0.009000000000000001,17.0,울산 남구,여천동(울산),238123.0,24.0
12,2018-03-01 13:00:00,0.003,0.4,0.065,0.009000000000000001,20.0,울산 남구,여천동(울산),238123.0,61.0
13,2018-03-01 14:00:00,0.002,0.4,0.067,0.01,17.0,울산 남구,여천동(울산),238123.0,50.0
14,2018-03-01 15:00:00,0.002,0.4,0.066,0.011,17.0,울산 남구,여천동(울산),238123.0,34.0
15,2018-03-01 16:00:00,0.002,0.4,0.065,0.01,17.0,울산 남구,여천동(울산),238123.0,29.0
16,2018-03-01 17:00:00,0.002,0.5,0.068,0.008,14.0,울산 남구,여천동(울산),238123.0,27.0
17,2018-03-01 18:00:00,0.002,1.4,0.065,0.009000000000000001,13.0,울산 남구,여천동(울산),238123.0,22.0
18,2018-03-01 19:00:00,0.003,1.5,0.059,0.012,17.0,울산 남구,여천동(울산),238123.0,23.0
19,2018-03-01 20:00:00,0.002,0.9,0.059,0.012,20.0,울산 남구,여천동(울산),238123.0,24.0
20,2018-03-01 21:00:00,0.002,0.4,0.06,0.012,17.0,울산 남구,여천동(울산),238123.0,28.0
21,2018-03-01 22:00:00,0.003,0.5,0.057,0.01,16.0,울산 남구,여천동(울산),238123.0,19.0
22,2018-03-01 23:00:00,0.002,0.3,0.057,0.008,19.0,울산 남구,여천동(울산),238123.0,21.0
23,2018-03-02 00:00:00,0.003,2.3,0.054000000000000006,0.008,17.0,울산 남구,여천동(울산),238123.0,24.0
24,2018-03-02 01:00:00,0.003,1.1,0.05,0.011,24.0,울산 남구,여천동(울산),238123.0,32.0
25,2018-03-02 02:00:00,0.002,0.3,0.051,0.011,25.0,울산 남구,여천동(울산),238123.0,32.0
26,2018-03-02 03:00:00,0.002,0.3,0.049,0.011,23.0,울산 남구,여천동(울산),238123.0,25.0
27,2018-03-02 04:00:00,0.003,1.0,0.05,0.01,24.0,울산 남구,여천동(울산),238123.0,31.0
28,2018-03-02 05:00:00,0.003,0.6,0.048,0.008,27.0,울산 남구,여천동(울산),238123.0,35.0
29,2018-03-02 06:00:00,0.003,1.3,0.046,0.012,25.0,울산 남구,여천동(울산),238123.0,35.0
30,2018-03-02 07:00:00,0.003,0.8,0.041,0.019,31.0,울산 남구,여천동(울산),238123.0,
31,2018-03-02 08:00:00,0.003,0.6,0.036000000000000004,0.026,29.0,울산 남구,여천동(울산),238123.0,37.0
32,2018-03-02 09:00:00,0.003,0.5,0.038,0.026,31.0,울산 남구,여천동(울산),238123.0,40.0
33,2018-03-02 10:00:00,0.003,0.5,0.041,0.025,33.0,울산 남구,여천동(울산),238123.0,47.0
34,2018-03-02 11:00:00,0.003,0.5,0.043,0.023,32.0,울산 남구,여천동(울산),238123.0,51.0
35,2018-03-02 12:00:00,0.02,0.5,0.038,0.037000000000000005,32.0,울산 남구,여천동(울산),238123.0,50.0
36,2018-03-02 13:00:00,0.022,0.4,0.043,0.032,50.0,울산 남구,여천동(울산),238123.0,73.0
37,2018-03-02 14:00:00,0.018000000000000002,0.5,0.047,0.036000000000000004,28.0,울산 남구,여천동(울산),238123.0,45.0
38,2018-03-02 15:00:00,0.021,0.4,0.047,0.036000000000000004,41.0,울산 남구,여천동(울산),238123.0,62.0
39,2018-03-02 16:00:00,0.009000000000000001,0.4,0.052000000000000005,0.021,41.0,울산 남구,여천동(울산),238123.0,47.0
40,2018-03-02 17:00:00,0.01,0.3,0.044,0.023,35.0,울산 남구,여천동(울산),238123.0,45.0
41,2018-03-02 18:00:00,0.025,0.4,0.033,0.038,27.0,울산 남구,여천동(울산),238123.0,44.0
42,2018-03-02 19:00:00,0.024,0.4,0.011,0.057,34.0,울산 남구,여천동(울산),238123.0,48.0
43,2018-03-02 20:00:00,0.022,0.6,0.004,0.063,36.0,울산 남구,여천동(울산),238123.0,53.0
44,2018-03-02 21:00:00,0.028,0.9,0.002,0.062,38.0,울산 남구,여천동(울산),238123.0,51.0
45,2018-03-02 22:00:00,0.034,0.6,0.002,0.054000000000000006,48.0,울산 남구,여천동(울산),238123.0,62.0
46,2018-03-02 23:00:00,0.006,0.5,0.014,0.041,38.0,울산 남구,여천동(울산),238123.0,43.0
47,2018-03-03 00:00:00,0.006,0.8,0.005,0.053,31.0,울산 남구,여천동(울산),238123.0,48.0
48,2018-03-03 01:00:00,0.008,0.8,0.006,0.056,44.0,울산 남구,여천동(울산),238123.0,59.0
49,2018-03-03 02:00:00,0.006,5.1,0.011,0.05,49.0,울산 남구,여천동(울산),238123.0,68.0
50,2018-03-03 03:00:00,0.006999999999999999,4.0,0.008,0.05,48.0,울산 남구,여천동(울산),238123.0,55.0
51,2018-03-03 04:00:00,0.006,1.8,0.002,0.047,48.0,울산 남구,여천동(울산),238123.0,56.0
52,2018-03-03 05:00:00,0.005,3.2,0.004,0.039,48.0,울산 남구,여천동(울산),238123.0,61.0
53,2018-03-03 06:00:00,0.006,2.0,0.003,0.042,46.0,울산 남구,여천동(울산),238123.0,56.0
54,2018-03-03 07:00:00,0.004,2.6,0.003,0.045,44.0,울산 남구,여천동(울산),238123.0,50.0
55,2018-03-03 08:00:00,0.004,2.7,0.003,0.046,41.0,울산 남구,여천동(울산),238123.0,56.0
56,2018-03-03 09:00:00,0.005,2.7,0.009000000000000001,0.046,54.0,울산 남구,여천동(울산),238123.0,61.0
57,2018-03-03 10:00:00,0.006,0.9,0.013,0.042,50.0,울산 남구,여천동(울산),238123.0,65.0
58,2018-03-03 11:00:00,0.006,0.8,0.02,0.037000000000000005,45.0,울산 남구,여천동(울산),238123.0,67.0
59,2018-03-03 12:00:00,0.017,0.7,0.023,0.046,48.0,울산 남구,여천동(울산),238123.0,68.0
60,2018-03-03 13:00:00,0.053,0.6,0.025,0.054000000000000006,46.0,울산 남구,여천동(울산),238123.0,82.0
61,2018-03-03 14:00:00,0.018000000000000002,0.5,0.051,0.034,42.0,울산 남구,여천동(울산),238123.0,62.0
62,2018-03-03 15:00:00,0.022,0.5,0.051,0.032,24.0,울산 남구,여천동(울산),238123.0,58.0
