,time,temp,windsp,winddir,humid,cloud,sun_hr,solar,so2,co,ozone,no2,pm2.5,pm10,rn,month,season
0,2018-03-01 00:00:00,8.2,3.9,340.0,98.0,10.0,,,0.003,2.2,0.039,0.017,9.0,,0.2,3,2
1,2018-03-01 01:00:00,7.0,4.1,320.0,97.0,10.0,,,0.003,1.0,0.055999999999999994,0.01,17.0,17.0,0.19166666666666668,3,2
2,2018-03-01 02:00:00,6.5,5.9,290.0,80.0,,,,0.003,0.8,0.057,0.009000000000000001,8.0,,0.18333333333333335,3,2
3,2018-03-01 03:00:00,6.2,4.6,320.0,79.0,3.0,,,0.003,0.3,0.061,0.006,7.0,,0.17500000000000002,3,2
4,2018-03-01 04:00:00,6.7,4.5,320.0,73.0,1.0,,,0.003,1.7,0.055999999999999994,0.006,8.0,,0.16666666666666669,3,2
5,2018-03-01 05:00:00,7.5,6.0,290.0,69.0,1.0,,,0.006999999999999999,0.4,0.055999999999999994,0.006,7.0,,0.15833333333333335,3,2
6,2018-03-01 06:00:00,7.8,5.8,290.0,67.0,0.0,,,0.003,0.3,0.055999999999999994,0.008,10.0,,0.15000000000000002,3,2
7,2018-03-01 07:00:00,7.9,3.7,290.0,68.0,0.0,0.0,0.0,0.003,0.3,0.055,0.013000000000000001,12.0,,0.14166666666666666,3,2
8,2018-03-01 08:00:00,8.9,2.8,230.0,64.0,7.0,0.2,0.08,0.003,0.4,0.042,0.026000000000000002,13.0,16.0,0.13333333333333336,3,2
9,2018-03-01 09:00:00,9.7,5.0,250.0,61.0,9.0,0.4,0.34,0.011000000000000001,0.4,0.038,0.027999999999999997,23.0,27.0,0.125,3,2
10,2018-03-01 10:00:00,9.6,4.4,290.0,64.0,8.0,1.0,0.94,0.006,0.4,0.052000000000000005,0.013999999999999999,25.0,28.0,0.11666666666666668,3,2
11,2018-03-01 11:00:00,10.5,6.9,290.0,41.0,1.0,1.0,1.33,0.003,0.5,0.055999999999999994,0.008,29.0,34.0,0.10833333333333335,3,2
12,2018-03-01 12:00:00,11.2,6.1,290.0,29.0,0.0,1.0,1.54,0.003,0.5,0.06,0.009000000000000001,17.0,24.0,0.1,3,2
13,2018-03-01 13:00:00,10.7,6.9,290.0,22.0,1.0,1.0,1.68,0.003,0.4,0.065,0.009000000000000001,20.0,61.0,0.09166666666666667,3,2
14,2018-03-01 14:00:00,10.5,6.6,290.0,22.0,0.0,1.0,1.63,0.002,0.4,0.067,0.01,17.0,50.0,0.08333333333333334,3,2
15,2018-03-01 15:00:00,9.9,7.2,290.0,19.0,5.0,1.0,1.26,0.002,0.4,0.066,0.011000000000000001,17.0,34.0,0.07500000000000001,3,2
16,2018-03-01 16:00:00,9.2,6.7,290.0,17.0,1.0,1.0,1.15,0.002,0.4,0.065,0.01,17.0,29.0,0.06666666666666668,3,2
17,2018-03-01 17:00:00,8.3,5.1,290.0,17.0,2.0,1.0,0.76,0.002,0.5,0.068,0.008,14.0,27.0,0.05833333333333335,3,2
18,2018-03-01 18:00:00,6.6,2.3,360.0,19.0,2.0,1.0,0.23,0.002,1.4,0.065,0.009000000000000001,13.0,22.0,0.05000000000000002,3,2
19,2018-03-01 19:00:00,5.6,1.2,200.0,18.0,,0.1,0.01,0.003,1.5,0.059000000000000004,0.012,17.0,23.0,0.041666666666666685,3,2
20,2018-03-01 20:00:00,4.7,0.9,20.0,20.0,,,,0.002,0.9,0.059000000000000004,0.012,20.0,24.0,0.033333333333333354,3,2
21,2018-03-01 21:00:00,4.0,2.8,340.0,25.0,8.0,,,0.002,0.4,0.06,0.012,17.0,28.0,0.025000000000000022,3,2
22,2018-03-01 22:00:00,2.9,4.8,290.0,32.0,,,,0.003,0.5,0.057,0.01,16.0,19.0,0.01666666666666669,3,2
23,2018-03-01 23:00:00,2.1,4.4,320.0,35.0,,,,0.002,0.3,0.057,0.008,19.0,21.0,0.00833333333333336,3,2
24,2018-03-02 00:00:00,1.3,3.4,340.0,37.0,7.0,,,0.003,2.3,0.054000000000000006,0.008,17.0,24.0,0.0,3,2
25,2018-03-02 01:00:00,0.5,2.0,360.0,42.0,,,,0.003,1.1,0.05,0.011000000000000001,24.0,32.0,0.0,3,2
26,2018-03-02 02:00:00,-0.4,2.3,360.0,46.0,,,,0.002,0.3,0.051,0.011000000000000001,25.0,32.0,0.0,3,2
27,2018-03-02 03:00:00,-0.9,2.0,20.0,48.0,9.0,,,0.002,0.3,0.049,0.011000000000000001,23.0,25.0,0.0,3,2
28,2018-03-02 04:00:00,-1.5,2.3,340.0,51.0,8.0,,,0.003,1.0,0.05,0.01,24.0,31.0,0.0,3,2
29,2018-03-02 05:00:00,-1.7,2.5,340.0,52.0,6.0,,,0.003,0.6,0.048,0.008,27.0,35.0,0.0,3,2
30,2018-03-02 06:00:00,-1.9,3.2,340.0,53.0,8.0,,,0.003,1.3,0.046,0.012,25.0,35.0,0.0,3,2
31,2018-03-02 07:00:00,-2.1,2.2,340.0,54.0,6.0,0.0,0.0,0.003,0.8,0.040999999999999995,0.019,31.0,,0.0,3,2
32,2018-03-02 08:00:00,-1.5,2.4,360.0,54.0,2.0,0.7,0.17,0.003,0.6,0.036000000000000004,0.026000000000000002,29.0,37.0,0.0,3,2
33,2018-03-02 09:00:00,-0.1,2.7,340.0,46.0,1.0,1.0,0.62,0.003,0.5,0.038,0.026000000000000002,31.0,40.0,0.0,3,2
34,2018-03-02 10:00:00,2.1,1.2,360.0,39.0,1.0,1.0,1.04,0.003,0.5,0.040999999999999995,0.025,33.0,47.0,0.0,3,2
35,2018-03-02 11:00:00,5.6,0.8,340.0,33.0,0.0,1.0,1.4,0.003,0.5,0.043,0.023,32.0,51.0,0.0,3,2
36,2018-03-02 12:00:00,6.2,3.0,230.0,28.0,0.0,1.0,1.61,0.02,0.5,0.038,0.037000000000000005,32.0,50.0,0.0,3,2
37,2018-03-02 13:00:00,7.5,3.3,160.0,42.0,0.0,1.0,1.68,0.022000000000000002,0.4,0.043,0.032,50.0,73.0,0.0,3,2
38,2018-03-02 14:00:00,8.1,3.1,140.0,47.0,0.0,1.0,1.6,0.018000000000000002,0.5,0.047,0.036000000000000004,28.0,45.0,0.0,3,2
39,2018-03-02 15:00:00,8.7,3.8,180.0,50.0,0.0,1.0,1.39,0.021,0.4,0.047,0.036000000000000004,41.0,62.0,0.0,3,2
40,2018-03-02 16:00:00,8.9,3.4,140.0,49.0,0.0,1.0,1.07,0.009000000000000001,0.4,0.052000000000000005,0.021,41.0,47.0,0.0,3,2
41,2018-03-02 17:00:00,9.0,1.9,160.0,44.0,0.0,1.0,0.65,0.01,0.3,0.044000000000000004,0.023,35.0,45.0,0.0,3,2
42,2018-03-02 18:00:00,8.0,0.5,110.0,44.0,0.0,1.0,0.21,0.025,0.4,0.033,0.038,27.0,44.0,0.0,3,2
43,2018-03-02 19:00:00,6.6,0.3,0.0,59.0,,0.0,0.0,0.024,0.4,0.011000000000000001,0.057,34.0,48.0,0.0,3,2
44,2018-03-02 20:00:00,5.1,0.8,340.0,60.0,,,,0.022000000000000002,0.6,0.004,0.063,36.0,53.0,0.0,3,2
45,2018-03-02 21:00:00,5.7,1.1,250.0,57.0,0.0,,,0.027999999999999997,0.9,0.002,0.062,38.0,51.0,0.0,3,2
46,2018-03-02 22:00:00,3.7,0.8,200.0,58.0,,,,0.034,0.6,0.002,0.054000000000000006,48.0,62.0,0.0,3,2
47,2018-03-02 23:00:00,3.9,0.1,0.0,61.0,,,,0.006,0.5,0.013999999999999999,0.040999999999999995,38.0,43.0,0.0,3,2
48,2018-03-03 00:00:00,3.1,0.8,320.0,62.0,2.0,,,0.006,0.8,0.005,0.053,31.0,48.0,0.0,3,2
49,2018-03-03 01:00:00,2.9,1.4,360.0,63.0,,,,0.008,0.8,0.006,0.055999999999999994,44.0,59.0,0.6458333333333334,3,2
